"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","LCSC","Part"
"C1,C6,C20,C21,C22,C23","6","22uF","","","","PCM_JLCPCB:C_0805","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL21A226MAQNNNE_C45783.pdf","C45783","CL21A226MAQNNNE"
"C2","1","10pF","","","","PCM_JLCPCB:C_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05C100JB5NNNC_C32949.pdf","C32949","CL05C100JB5NNNC"
"C3","1","1nF","","","","PCM_JLCPCB:C_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402B102K500NT_C1523.pdf","C1523","0402B102K500NT"
"C4","1","6.8nF","","","","PCM_JLCPCB:C_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402B682K500NT_C1542.pdf","C1542","0402B682K500NT"
"C5,C7,C8,C11,C17,C18","6","100nF","","","","PCM_JLCPCB:C_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2211101700_YAGEO-CC0603KRX7R9BB104_C14663.pdf","C14663","CC0603KRX7R9BB104"
"C9,C12","2","1uF","","","","PCM_JLCPCB:C_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05A105KA5NQNC_C52923.pdf","C52923","CL05A105KA5NQNC"
"C10,C15","2","10uF","","","","PCM_JLCPCB:C_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL10A106MA8NRNC_C96446.pdf","C96446","CL10A106MA8NRNC"
"C13","1","10nF","","","","PCM_JLCPCB:C_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05B103KB5NNNC_C15195.pdf","C15195","CL05B103KB5NNNC"
"C14,C16","2","1uF","","","","PCM_JLCPCB:C_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL10A105KB8NNNC_C15849.pdf","C15849","CL10A105KB8NNNC"
"C19","1","4.7uF","","","","PCM_JLCPCB:C_0805","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL21A475KAQNNNE_C1779.pdf","C1779","CL21A475KAQNNNE"
"D1","1","B5818WS","","","","PCM_JLCPCB:D_SOD-323","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2406171613_hongjiacheng-B5818WS_C22466361.pdf","C22466361","B5818WS"
"H1,H2","2","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_2.1mm","~","",""
"J1","1","Connector, USB-TYPE-C-16P","","","","PCM_JLCPCB:TYPE-C-SMD_HX-TYPE-C-16PIN","https://atta.szlcsc.com/upload/public/pdf/source/20220920/0EF8F885FCCEA71F60E9E85152155021.pdf","C2927039","USB-TYPE-C-019"
"J2,J3","2","Conn_01x08_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","https://jlcpcb.com/partdetail/CST-CS_1109_1X8_L11_5PA6T/C18213722","C18213722","CS-1109-1X8(L11.5)PA6T"
"L1","1","Inductor, SMD, 4.7 uH, 3.5 A, 20%","","","","JLCPCBExtended:IND_SRP4020TA-4R7M","https://jlcpcb.com/partdetail/BOURNS-SRP4020TA4R7M/C2041623","C2041623","SRP4020TA-4R7M"
"L2,L5","2","1nH, 25V","","","","PCM_JLCPCB:L_0603","https://jlcpcb.com/partdetail/1379-VHF160808H1N0ST/C1027","C1027","VHF160808H1N0ST"
"L3","1","15nH,300mA","","","","PCM_JLCPCB:L_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2310301641_Sunlord-SDCL1005C15NJTDF_C27143.pdf","C27143","SDCL1005C15NJTDF"
"L4","1","10nH,300mA","","","","PCM_JLCPCB:L_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2310301641_Sunlord-SDCL1005C10NJTDF_C27147.pdf","C27147","SDCL1005C10NJTDF"
"R1","1","30kΩ","","","","PCM_JLCPCB:R_0805","https://www.lcsc.com/datasheet/lcsc_datasheet_2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F3002T5E_C17621.pdf","C17621","0805W8F3002T5E"
"R2","1","3.3kΩ","","","","PCM_JLCPCB:R_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010045_UNI-ROYAL-Uniroyal-Elec-0402WGF3301TCE_C25890.pdf","C25890","0402WGF3301TCE"
"R3","1","10kΩ","","","","PCM_JLCPCB:R_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2411221126_UNI-ROYAL-Uniroyal-Elec-0402WGF1002TCE_C25744.pdf","C25744","0402WGF1002TCE"
"R4","1","200Ω","","","","PCM_JLCPCB:R_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2205311900_UNI-ROYAL-Uniroyal-Elec-0402WGF2000TCE_C25087.pdf","C25087","0402WGF2000TCE"
"R5","1","820Ω","","","","PCM_JLCPCB:R_0805","https://www.lcsc.com/datasheet/lcsc_datasheet_2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F8200T5E_C17837.pdf","C17837","0805W8F8200T5E"
"R6,R7","2","5.1kΩ","","","","PCM_JLCPCB:R_0805","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010030_UNI-ROYAL-Uniroyal-Elec-0805W8F5101T5E_C27834.pdf","C27834","0805W8F5101T5E"
"R8,R9,R15","3","4.7kΩ","","","","PCM_JLCPCB:R_0805","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F4701T5E_C17673.pdf","C17673","0805W8F4701T5E"
